date,cheese_production
1995 January,58071
1995 February,53419
1995 March,59799
1995 April,57396
1995 May,59326
1995 June,54075
1995 July,54376
1995 August,55857
1995 September,55537
1995 October,59209
1995 November,57990
1995 December,57842
1996 January,58176
1996 February,55043
1996 March,58730
1996 April,56472
1996 May,58503
1996 June,54673
1996 July,55852
1996 August,57550
1996 September,58148
1996 October,61490
1996 November,57263
1996 December,56200
1997 January,59848
1997 February,54369
1997 March,60610
1997 April,59642
1997 May,60993
1997 June,55671
1997 July,56877
1997 August,58009
1997 September,58939
1997 October,63175
1997 November,58917
1997 December,57051
1998 January,59031
1998 February,53474
1998 March,57734
1998 April,56481
1998 May,57095
1998 June,52275
1998 July,52794
1998 August,53160
1998 September,51841
1998 October,54377
1998 November,51289
1998 December,50050
1999 January,54963
1999 February,48630
1999 March,54446
1999 April,52747
1999 May,55246
1999 June,51044
1999 July,54482
1999 August,55283
1999 September,55961
1999 October,59188
1999 November,57481
1999 December,59229
2000 January,59295
2000 February,55732
2000 March,59466
2000 April,56067
2000 May,57190
2000 June,55035
2000 July,54520
2000 August,57503
2000 September,56331
2000 October,58417
2000 November,56737
2000 December,57307
2001 January,57262
2001 February,52207
2001 March,53217
2001 April,53786
2001 May,55872
2001 June,52860
2001 July,56051
2001 August,56910
2001 September,53958
2001 October,54474
2001 November,52811
2001 December,52392
2002 January,54338
2002 February,46135
2002 March,50341
2002 April,53173
2002 May,54429
2002 June,50553
2002 July,53086
2002 August,53051
2002 September,53836
2002 October,58930
2002 November,55351
2002 December,55776
2003 January,57495
2003 February,51642
2003 March,55670
2003 April,54041
2003 May,55529
2003 June,52105
2003 July,54487
2003 August,54426
2003 September,55156
2003 October,58276
2003 November,54296
2003 December,54778
2004 January,57011
2004 February,51404
2004 March,55869
2004 April,55855
2004 May,57154
2004 June,53608
2004 July,56342
2004 August,53418
2004 September,52666
2004 October,56492
2004 November,54020
2004 December,55462
2005 January,57176
2005 February,52076
2005 March,55400
2005 April,54506
2005 May,55617
2005 June,53008
2005 July,55270
2005 August,57370
2005 September,55900
2005 October,58626
2005 November,56515
2005 December,60736
2006 January,60737
2006 February,53676
2006 March,58430
2006 April,60033
2006 May,57692
2006 June,58367
2006 July,59830
2006 August,60916
2006 September,58821
2006 October,61645
2006 November,60676
2006 December,63177
2007 January,63747
2007 February,56640
2007 March,63648
2007 April,61132
2007 May,62304
2007 June,56385
2007 July,59789
2007 August,60202
2007 September,59932
2007 October,63067
2007 November,59346
2007 December,64143
2008 January,62708
2008 February,59665
2008 March,62388
2008 April,59601
2008 May,60255
2008 June,57741
2008 July,62562
2008 August,60369
2008 September,59067
2008 October,60714
2008 November,55975
2008 December,60653
2009 January,61208
2009 February,55036
2009 March,59796
2009 April,57960
2009 May,61005
2009 June,58789
2009 July,59663
2009 August,59743
2009 September,57895
2009 October,61184
2009 November,57045
2009 December,62771
2010 January,63125
2010 February,58847
2010 March,64743
2010 April,63321
2010 May,65822
2010 June,62379
2010 July,63276
2010 August,62957
2010 September,58583
2010 October,62736
2010 November,62327
2010 December,64520
2011 January,65490
2011 February,58800
2011 March,66373
2011 April,63096
2011 May,65061
2011 June,59361
2011 July,61771
2011 August,62358
2011 September,58884
2011 October,62191
2011 November,61371
2011 December,64924
2012 January,65821
2012 February,61730
2012 March,66103
2012 April,63307
2012 May,65235
2012 June,61677
2012 July,63889
2012 August,62941
2012 September,61398
2012 October,64164
2012 November,61758
2012 December,66136
2013 January,67314
2013 February,60698
2013 March,66749
2013 April,65792
2013 May,68310
2013 June,63832
2013 July,66942
2013 August,66674
2013 September,64660
2013 October,69005
2013 November,65495
2013 December,68046
2014 January,69003
2014 February,61278
2014 March,66901
2014 April,65522
2014 May,67065
2014 June,62113
2014 July,67011
2014 August,63666
2014 September,61261
2014 October,63883
2014 November,60142
2014 December,64096
2015 January,67160
2015 February,60462
2015 March,68661
2015 April,70249
2015 May,74202
2015 June,71069
2015 July,72938
2015 August,72736
2015 September,68927
2015 October,73688
2015 November,68927
2015 December,75953
2016 January,76327
2016 February,72494
2016 March,76771
2016 April,75641
2016 May,76351
2016 June,72355
2016 July,74256
2016 August,72496
2016 September,71192
2016 October,73593
2016 November,70735
2016 December,75601
2017 January,75698
2017 February,67995
2017 March,75738
2017 April,73058
2017 May,72978
2017 June,71097
2017 July,73431
2017 August,75783
2017 September,71290
2017 October,72403
2017 November,69905
2017 December,74863
2018 January,75269
2018 February,68214
2018 March,76889
2018 April,73710
2018 May,74740
2018 June,71338
2018 July,73373
2018 August,72946
2018 September,71963
2018 October,73524
2018 November,72311
2018 December,74630
2019 January,78357
2019 February,72879
2019 March,77314
2019 April,77419
2019 May,78788
2019 June,75414
2019 July,75510
2019 August,74657
2019 September,73498
2019 October,70233
2019 November,70422
2019 December,72914
